Location,Predicted water level for pre-Monsoon,Predicted water level for post-Monsoon,MSE for pre-Monsoon,MSE for post-Monsoon,Loss
Achenkovil(R1),6.066343,3.8794136,0.40852723614070025,0.03609515506632522,0.44462239120702546
Ailara,2.596769,2.0196235,0.0020788968327866302,0.0032930652245152705,0.0053719620573019
Akkal,10.093173,9.441468,0.017607672128070743,0.005725600531398158,0.023333272659468902
Anchal,8.518978,6.266023,0.0524263972682576,0.008459028439426452,0.06088542570768406
